Name,log(Rgas_lerr),log(Rgas),log(Rgas_uerr),log(SBgas_lerr),log(SBgas),log(SBgas_uerr)
U-HiZ_z1_132,1.0520415469678144,1.0738102502957907,1.0966597885718579,0.07020682372417175,0.08452312759402925,0.09853414428706905
U-HiZ_z1_139,0.8974646460917656,0.9202348136215661,0.9437451094227307,0.08853639746632709,0.10185230407266264,0.11498301060910546
U-HiZ_z1_204,0.8926189326947799,0.9047766560653703,0.9169168893638704,0.11620851509932262,0.12474941098666029,0.13334083620367707
U-HiZ_z1_205,1.1615398126616912,1.1855723657065833,1.2106409072053412,0.09711231121356462,0.10960771815595301,0.12208522066282519
U-HiZ_z1_208,1.1997327109547606,1.214324002240354,1.229342111235607,0.05204567048032111,0.05749313634982751,0.06282961519404395
U-HiZ_z1_31,1.1575082324015786,1.168392830388108,1.1793059461415796,0.03508643718393253,0.037938813525895745,0.04080145839852836
U-HiZ_z1_44,1.6896037280378218,1.7349250538694956,1.7603505367700911,0.008276267001147851,0.013909747222046376,0.019695682710771923
U-HiZ_z1_84,0.9233690939822002,0.9452980230327015,0.968038616883627,0.07237237390359949,0.08267073412400022,0.09286538375956943
U-HiZ_z1_96,1.0275028746188855,1.0394268687256711,1.051493378446551,0.04362706408615113,0.045418414827718134,0.04720696140175047
U-zuds_z1_100,0.906712277688003,0.9170380354122178,0.9275756228641548,0.08803565822423035,0.09271922698405353,0.0974079717000341
U-zuds_z1_113,0.8209028933513379,0.8307328637475353,0.8404508899515697,0.1721052534718901,0.18123556021776882,0.19038206850546233
U-zuds_z1_118,0.8280788860770875,0.8499776871267808,0.8723138670235856,0.07045232903081196,0.08108361092162253,0.09161132111214881
U-zuds_z1_139,0.9199666357494098,0.9335894725688998,0.9473658179484065,0.08212737238395243,0.09008464477956603,0.09803242321980615
U-zuds_z1_147,1.7494267822983431,1.7620047513090327,1.7679682651748063,-0.02273726968096918,-0.011407933878591335,-0.0005202218372154243
U-zuds_z1_188,1.1126886742283113,1.1391194178352095,1.167150676573205,0.052366494615994866,0.06474229887617808,0.07707393548985036
U-zuds_z1_220,0.8797979946147173,0.8946959632370635,0.9100242891119704,0.13418432438848427,0.14786481943555607,0.16136869649949473
U-zudsp_z1_115,0.9979221763994627,1.0117432529140955,1.025826608072382,0.09056888889600459,0.09706061685983516,0.10347882511280601
U-zudsp_z1_120,1.5265516052125008,1.6287238613441335,1.71805463581141,-0.06228682283675737,-0.04456631352925633,-0.025466255739518752
U-zudsp_z1_55,0.8565475643384768,0.8693781178716559,0.882236669466537,0.12622966893972262,0.1386358063238375,0.15090376463400912
U-zudsp_z1_79,0.8960704327448092,0.9102447815958741,0.9244363007857274,0.07689305412626996,0.0854725793775756,0.09392024946710799
